IMG	IMG_X	IMG_Y	X_WGS84	Y_WGS84	Z_HAE	NAME
AK01b_20090827_202939	851	1324	495101.72	6778675.01	16.78	transients (snow, glacier)
AK01b_20090827_202939	2877	851.75	497559.72	6778024.51	16.78	transients (snow, glacier)
AK01b_20090827_202939	90.75	538.75	500418.22	6786646.51	940.6760254	transients (snow, glacier)
AK01b_20100202_220056	941	385	508841.6679	6791253.336	1639.603755	P5330
AK01b_20100202_220056	1234	405	526319.5407	6803632.169	2425.997318	P7910
AK01b_20100202_220056	1388	389	528944.9755	6803596.145	2529.325774	P8249
AK01b_20100202_220056	1528	352	527374.9441	6800629.286	2608.879542	P8510
AK01b_20100202_220056	1722	374	527221.2716	6798373.463	2130.337723	P6940
AK01b_20100202_220056	2225	310	523517.2864	6790992.455	1944.407462	P6330
AK01b_20100202_220056	2536	274	517999.23	6786172.233	1648.747866	P5360
AK01b_20100202_220056	2932	209	514230.9923	6782628.371	1566.450866	P5090
AK01b_20100202_220056	3131	182	514353.4451	6781616.346	1590.835162	P5170
AK01b_20100403_200128	438	741	498947.6	6783533.24	327.3576019	nostril
AK01b_20100403_200128	917	381	508841.6679	6791253.336	1639.603755	P5330
AK01b_20100403_200128	1212	402	526319.5407	6803632.169	2425.997318	P7910
AK01b_20100403_200128	1365	386	528944.9755	6803596.145	2529.325774	P8249
AK01b_20100403_200128	1504	350	527374.9441	6800629.286	2608.879542	P8510
AK01b_20100403_200128	1699	372	527221.2716	6798373.463	2130.337723	P6940
AK01b_20100403_200128	2203	307	523517.2864	6790992.455	1944.407462	P6330
AK01b_20100403_200128	2512	273	517999.23	6786172.233	1648.747866	P5360
AK01b_20100403_200128	2908	207	514230.9923	6782628.371	1566.450866	P5090
AK01b_20100403_200128	3106	181	514353.4451	6781616.346	1590.835162	P5170
AK01b_20100509_200138	468	737	498947.6	6783533.24	327.3576019	nostril
AK01b_20100509_200138	946	379	508841.6679	6791253.336	1639.603755	P5330
AK01b_20100509_200138	1243	398	526319.5407	6803632.169	2425.997318	P7910
AK01b_20100509_200138	1395	384	528944.9755	6803596.145	2529.325774	P8249
AK01b_20100509_200138	1728	368	527221.2716	6798373.463	2130.337723	P6940
AK01b_20100509_200138	2233	307	523517.2864	6790992.455	1944.407462	P6330
AK01b_20100509_200138	2542	271	517999.23	6786172.233	1648.747866	P5360
AK01b_20100509_200138	2939	205	514230.9923	6782628.371	1566.450866	P5090
AK01b_20100509_200138	3136	180	514353.4451	6781616.346	1590.835162	P5170
AK01b_20100525_200710	69	566.25	497790.1	6783149.24	414.9934021	topshelf
AK01b_20100525_200710	349	562.25	498947.6	6783533.24	327.3576019	nostril
AK01b_20100525_200710	708	292.5	508841.6679	6791253.336	1639.603755	P5330
AK01b_20100525_200710	927	307.25	526319.5407	6803632.169	2425.997318	P7910
AK01b_20100525_200710	1043.75	295.75	528944.9755	6803596.145	2529.325774	P8249
AK01b_20100525_200710	1149.75	267	527374.9441	6800629.286	2608.879542	P8510
AK01b_20100525_200710	1293	284.5	527221.2716	6798373.463	2130.337723	P6940
AK01b_20100525_200710	1674.5	234.5	523517.2864	6790992.455	1944.407462	P6330
AK01b_20100525_200710	1907	207.75	517999.23	6786172.233	1648.747866	P5360
AK01b_20100525_200710	2203	158.25	514230.9923	6782628.371	1566.450866	P5090
AK01b_20100525_200710	2353	137.75	514353.4451	6781616.346	1590.835162	P5170
AK01b_20100602_200707	73.25	566.75	497790.1	6783149.24	414.9934021	topshelf
AK01b_20100602_200707	350.5	562.25	498947.6	6783533.24	327.3576019	nostril
AK01b_20100602_200707	710.5	292.5	508841.6679	6791253.336	1639.603755	P5330
AK01b_20100602_200707	928	305.75	526319.5407	6803632.169	2425.997318	P7910
AK01b_20100602_200707	1046	294.5	528944.9755	6803596.145	2529.325774	P8249
AK01b_20100602_200707	1147.25	266.75	527374.9441	6800629.286	2608.879542	P8510
AK01b_20100602_200707	1296	283	527221.2716	6798373.463	2130.337723	P6940
AK01b_20100602_200707	1678.75	233.75	523517.2864	6790992.455	1944.407462	P6330
AK01b_20100602_200707	1907.25	208.25	517999.23	6786172.233	1648.747866	P5360
AK01b_20100602_200707	2204.25	159.25	514230.9923	6782628.371	1566.450866	P5090
AK01b_20100602_200707	2353	138	514353.4451	6781616.346	1590.835162	P5170
AK01b_20100915_200427	60.25	813.5	497790.1	6783149.24	414.9934021	topshelf
AK01b_20100915_200427	335.5	833.75	498947.6	6783533.24	327.3576019	nostril
AK01b_20100915_200427	719.75	604.25	508841.6679	6791253.336	1639.603755	P5330
AK01b_20100915_200427	931.5	636	526319.5407	6803632.169	2425.997318	P7910
AK01b_20100915_200427	1048	634.75	528944.9755	6803596.145	2529.325774	P8249
AK01b_20100915_200427	1152.5	615.75	527374.9441	6800629.286	2608.879542	P8510
AK01b_20100915_200427	1294	644.75	527221.2716	6798373.463	2130.337723	P6940
AK01b_20100915_200427	1667.75	628.75	523517.2864	6790992.455	1944.407462	P6330
AK01b_20100915_200427	1896.25	621.75	517999.23	6786172.233	1648.747866	P5360
AK01b_20100915_200427	2187.25	598.5	514230.9923	6782628.371	1566.450866	P5090
AK01b_20100915_200427	2332.75	589.5	514353.4451	6781616.346	1590.835162	P5170
AK01b_20110711_195223	54	799	497790.1	6783149.24	414.9934021	topshelf
AK01b_20110711_195223	329	817	498947.6	6783533.24	327.3576019	nostril
AK01b_20110711_195223	713	584	508841.6679	6791253.336	1639.603755	P5330
AK01b_20110711_195223	926	616	526319.5407	6803632.169	2425.997318	P7910
AK01b_20110711_195223	1041	613	528944.9755	6803596.145	2529.325774	P8249
AK01b_20110711_195223	1145	593	527374.9441	6800629.286	2608.879542	P8510
AK01b_20110711_195223	1288	623	527221.2716	6798373.463	2130.337723	P6940
AK01b_20110711_195223	1662	604	523517.2864	6790992.455	1944.407462	P6330
AK01b_20110711_195223	1890	596	517999.23	6786172.233	1648.747866	P5360
AK01b_20110711_195223	2181	572	514230.9923	6782628.371	1566.450866	P5090
AK01b_20110711_195223	2327	562	514353.4451	6781616.346	1590.835162	P5170
AK02_20070706_195704	245.5	461.5	479195.7452	6784306.342	2151.673982	P7010
AK02_20070706_195704	992	403.5	481239.3218	6786456.92	2301.027798	TOOTH
AK02_20070706_195704	1265	397.5	481497.8021	6787589.501	2432.093392	P7930
AK02_20070706_195704	1793.5	336.5	483724.866	6788352.63	2483.910022	TRIANGLEPK
AK02_20070706_195704	1984	631	492132.5979	6780714.854	563.8721985	clubarm
AK02_20070706_195704	2050.67	635	492263.39	6780711.84	548.15	bullseye
AK02_20070706_195704	2526.5	688.5	492548.1	6781467.24	443.9587097	xcrack
AK02_20070706_195704	2770.5	751.5	492682.5466	6781838.068	412.9648387	wfalls
AK02_20070706_195704	3007.5	813	493881.5042	6780619.489	252.55	JNCSLDR
AK02_20070706_195704	3772.5	626.5	494709.0757	6780726.915	431.774353	pinch
AK02_20070811_195526	245	461	479195.7452	6784306.342	2151.673982	P7010
AK02_20070811_195526	993	401	481239.3218	6786456.92	2301.027798	TOOTH
AK02_20070811_195526	1264	395	481497.8021	6787589.501	2432.093392	P7930
AK02_20070811_195526	1793	334	483724.866	6788352.63	2483.910022	TRIANGLEPK
AK02_20070811_195526	1983	629	492132.5979	6780714.854	563.8721985	clubarm
AK02_20070811_195526	2049	634	492263.39	6780711.84	548.15	bullseye
AK02_20070811_195526	2525	686	492548.1	6781467.24	443.9587097	xcrack
AK02_20070811_195526	2766	752	492682.5466	6781838.068	412.9648387	wfalls
AK02_20070811_195526	2997	819	493881.5042	6780619.489	252.55	JNCSLDR
AK02_20070811_195526	3772	626	494709.0757	6780726.915	431.774353	pinch
AK02_20070922_195333	244.25	445.25	479195.7452	6784306.342	2151.673982	P7010
